CaterpillarG3608-Cyl8-2018-09-10 00:15:12,CaterpillarG3608-Cyl8-2018-09-10 00:17:21,CaterpillarG3608-Cyl8-2018-09-10 00:20:05,CaterpillarG3608-Cyl8-2018-09-10 00:21:57,CaterpillarG3608-Cyl8-2018-09-10 00:23:40,CaterpillarG3608-Cyl8-2018-09-10 00:25:42,CaterpillarG3608-Cyl8-2018-09-10 00:27:20,CaterpillarG3608-Cyl8-2018-09-10 00:29:15,CaterpillarG3608-Cyl8-2018-09-10 00:30:49,CaterpillarG3608-Cyl8-2018-09-10 00:32:40,CaterpillarG3608-Cyl8-2018-09-10 00:34:23,CaterpillarG3608-Cyl8-2018-09-10 00:35:55,CaterpillarG3608-Cyl8-2018-09-10 00:37:38,CaterpillarG3608-Cyl8-2018-09-10 00:39:21,CaterpillarG3608-Cyl8-2018-09-10 00:40:56
0.260004652,0.273190141,0.252240382,0.267574009,0.265510776,0.298053312,0.357087527,0.293283494,0.212270129,0.284017818,0.277388071,0.257590213,0.268325213,0.266118078,0.28087441
0.24410249,0.223435169,0.21762703,0.242219383,0.224822436,0.282079616,0.247615226,0.225942328,0.23161537,0.20309622,0.251708936,0.234215159,0.21909364,0.229558884,0.256721032
0.225186672,0.211206666,0.242900868,0.196325299,0.236902054,0.229173614,0.17064239,0.194442978,0.217792797,0.195071092,0.204117149,0.214865737,0.222582887,0.217355655,0.236771167
0.198859142,0.206904309,0.256910158,0.214802123,0.202743348,0.21283151,0.201914344,0.193606476,0.24079151,0.202981082,0.228705408,0.183808192,0.214246397,0.243798099,0.233496683
0.250562402,0.222422752,0.21966195,0.217850367,0.215351407,0.228572455,0.218929737,0.208020037,0.226646814,0.204519834,0.223072251,0.190671256,0.231525977,0.251378631,0.218120939
0.241424788,0.196017801,0.209658561,0.207602904,0.203713437,0.208069961,0.203874902,0.240144469,0.191170977,0.197873428,0.193173248,0.208888813,0.225702576,0.233634358,0.207277309
0.22558627,0.18286689,0.22997546,0.199529969,0.226098614,0.214982271,0.199488019,0.233606477,0.184909605,0.204573714,0.201340662,0.203528756,0.229106533,0.226585767,0.20738148
0.222647209,0.202383703,0.217049135,0.195523111,0.216118993,0.208780137,0.195033674,0.203367408,0.217344021,0.20331459,0.211213036,0.197445374,0.2164998,0.226499075,0.20548406
0.221033563,0.219725911,0.223376778,0.199266202,0.187062417,0.199676844,0.18978338,0.18948115,0.214380361,0.181149699,0.209183046,0.22395554,0.230512506,0.2350482,0.216445935
0.181150343,0.239981576,0.223967265,0.213123201,0.181436975,0.193514709,0.178615528,0.214813401,0.195623994,0.206033054,0.210611114,0.220197493,0.229041526,0.228257589,0.2465578
