BallenasCompressorSk440-Cyl2-2018-09-26 15:30:25,BallenasCompressorSk440-Cyl2-2018-09-26 15:35:44,BallenasCompressorSk440-Cyl2-2018-09-26 15:43:59,BallenasCompressorSk440-Cyl2-2018-09-26 16:14:27,BallenasCompressorSk440-Cyl2-2018-09-26 16:17:45,BallenasCompressorSk440-Cyl2-2018-09-26 16:21:06,BallenasCompressorSk440-Cyl2-2018-09-26 16:26:12
0.212474955,0.222206715,0.205204733,0.23780868,0.216864408,0.204158354,0.187427301
0.197669957,0.209189654,0.19977696,0.212800148,0.209290191,0.191754213,0.181184096
0.204964789,0.209677412,0.198075428,0.1992707,0.208860862,0.204406324,0.192451716
0.225168654,0.211113773,0.203125676,0.200738322,0.200040556,0.205682411,0.202654996
0.214919776,0.208036448,0.196854923,0.219017938,0.211516275,0.210170688,0.19003741
0.207828918,0.209044506,0.192360458,0.20516174,0.216222629,0.209369493,0.206113566
0.200708671,0.212465014,0.205273713,0.2192546,0.215500909,0.200175031,0.216468306
0.216736637,0.213142699,0.211299929,0.213226839,0.218805057,0.196239419,0.210934247
0.210801261,0.220422907,0.20147679,0.196431913,0.211562613,0.19894345,0.215807043
0.210971682,0.198390688,0.20480565,0.202110676,0.212052152,0.203652903,0.227720715
0.207082323,0.215493763,0.209550039,0.228798184,0.212396003,0.224560986,0.206655001
0.216639323,0.222924643,0.21421039,0.209637068,0.214960092,0.213580338,0.217248112
0.213129817,0.210630077,0.217929906,0.199533704,0.2179764,0.213249471,0.218807922
0.20584273,0.204307937,0.219510548,0.236003129,0.214036634,0.211308499,0.200568133
0.220486713,0.203780455,0.212757693,0.217646987,0.200120816,0.224279298,0.214540917
0.217214317,0.199544629,0.206625333,0.20317953,0.210550072,0.211723674,0.233508747
0.197228164,0.209580596,0.21571798,0.208779677,0.230668294,0.208052308,0.214421453
0.193919387,0.209506597,0.215627704,0.203167477,0.221775922,0.202380559,0.195953129
0.20798903,0.207518908,0.210113035,0.224098118,0.219269853,0.199909066,0.194960602
0.204396826,0.205644023,0.215348338,0.22125711,0.232815554,0.205632014,0.193060562
0.193225194,0.212704818,0.214779386,0.202469177,0.214884512,0.212365009,0.20729982
0.206193693,0.214284975,0.215620935,0.208299247,0.205760579,0.226133214,0.201705983
0.203435,0.22386216,0.213607316,0.213660891,0.19741701,0.213329573,0.198972221
0.203698929,0.206120832,0.207807818,0.196207237,0.212713753,0.210199513,0.210357531
